,word,polyglot,afinn
0,Den,0,0.0
1,grimme,0,-3.0
2,Ælling,0,0.0
3,.,0,0.0
4,Der,0,0.0
5,var,0,0.0
6,saa,0,0.0
7,deiligt,0,0.0
8,ude,-1,0.0
9,paa,0,0.0
10,Landet,0,0.0
11,;,0,0.0
12,det,0,0.0
13,var,0,0.0
14,Sommer,0,0.0
15,",",0,0.0
16,Kornet,0,0.0
17,stod,0,0.0
18,guult,0,0.0
19,",",0,0.0
20,Havren,0,0.0
21,grøn,0,0.0
22,",",0,0.0
23,Høet,0,0.0
24,var,0,0.0
25,reist,0,0.0
26,i,0,0.0
27,Stakke,0,0.0
28,nede,0,0.0
29,i,0,0.0
30,de,0,0.0
31,grønne,0,0.0
32,Enge,0,0.0
33,",",0,0.0
34,og,0,0.0
35,der,0,0.0
36,gik,0,0.0
37,Storken,0,0.0
38,paa,0,0.0
39,sine,0,0.0
40,lange,0,0.0
41,",",0,0.0
42,røde,0,0.0
43,Been,0,0.0
44,og,0,0.0
45,snakkede,0,0.0
46,ægyptisk,0,0.0
47,",",0,0.0
48,for,0,0.0
49,det,0,0.0
50,Sprog,0,0.0
51,havde,0,0.0
52,han,0,0.0
53,lært,0,0.0
54,af,0,0.0
55,sin,-1,0.0
56,Moder,0,0.0
57,.,0,0.0
58,Rundtom,0,0.0
59,Ager,0,0.0
60,og,0,0.0
61,Eng,0,0.0
62,var,0,0.0
63,der,0,0.0
64,store,1,0.0
65,Skove,0,0.0
66,",",0,0.0
67,og,0,0.0
68,midt,0,0.0
69,i,0,0.0
70,Skovene,0,0.0
71,dybe,0,0.0
72,Søer,0,0.0
73,;,0,0.0
74,jo,0,0.0
75,",",0,0.0
76,der,0,0.0
77,var,0,0.0
78,rigtignok,0,0.0
79,deiligt,0,0.0
80,derude,0,0.0
81,paa,0,0.0
82,Landet,0,0.0
83,!,0,0.0
84,Midt,0,0.0
85,i,0,0.0
86,Solskinnet,0,0.0
87,laae,0,0.0
88,der,0,0.0
89,en,0,0.0
90,gammel,0,0.0
91,Herregaard,0,0.0
92,med,0,0.0
93,dybe,0,0.0
94,Canaler,0,0.0
95,rundt,0,0.0
96,om,0,0.0
97,",",0,0.0
98,og,0,0.0
99,fra,0,0.0
100,Muren,0,0.0
101,og,0,0.0
102,ned,0,0.0
103,til,0,0.0
104,Vandet,0,0.0
105,voxte,0,0.0
106,store,1,0.0
107,Skræppeblade,0,0.0
108,",",0,0.0
109,der,0,0.0
110,vare,0,0.0
111,saa,0,0.0
112,høie,0,0.0
113,",",0,0.0
114,at,0,0.0
115,smaa,0,0.0
116,Børn,0,0.0
117,kunde,0,0.0
118,staae,0,0.0
119,opreiste,0,0.0
120,under,1,0.0
121,de,0,0.0
122,største,0,0.0
123,;,0,0.0
124,der,0,0.0
125,var,0,0.0
126,ligesaa,0,0.0
127,vildsomt,0,0.0
128,derinde,0,0.0
129,",",0,0.0
130,som,1,0.0
131,i,0,0.0
132,den,0,0.0
133,tykkeste,0,0.0
134,Skov,0,0.0
135,",",0,0.0
136,og,0,0.0
137,her,0,0.0
138,laae,0,0.0
139,en,0,0.0
140,And,0,0.0
141,paa,0,0.0
142,sin,-1,0.0
143,Rede,0,0.0
144,;,0,0.0
145,hun,0,0.0
146,skulde,0,0.0
147,ruge,0,0.0
148,sine,0,0.0
149,smaae,0,0.0
150,Ællinger,0,0.0
151,ud,0,0.0
152,",",0,0.0
153,men,0,0.0
154,nu,0,0.0
155,var,0,0.0
156,hun,0,0.0
157,næsten,0,0.0
158,kjed,0,0.0
159,af,0,0.0
160,det,0,0.0
161,",",0,0.0
162,fordi,0,0.0
163,det,0,0.0
164,varede,0,0.0
165,saa,0,0.0
166,længe,0,0.0
167,",",0,0.0
168,og,0,0.0
169,hun,0,0.0
170,sjælden,0,0.0
171,fik,0,2.0
172,Visit,0,0.0
173,;,0,0.0
174,de,0,0.0
175,andre,0,0.0
176,Ænder,0,0.0
177,holdt,0,0.0
178,mere,0,0.0
179,af,0,0.0
180,at,0,0.0
181,svømme,0,0.0
182,om,0,0.0
183,i,0,0.0
184,Canalerne,0,0.0
185,",",0,0.0
186,end,0,0.0
187,at,0,0.0
188,løbe,0,0.0
189,op,0,0.0
190,og,0,0.0
191,sidde,0,0.0
192,under,1,0.0
193,et,0,0.0
194,Skræppeblad,0,0.0
195,for,0,0.0
196,at,0,0.0
197,snaddre,0,0.0
198,med,0,0.0
199,hende.Endelig,0,0.0
200,knagede,0,0.0
201,det,0,0.0
202,ene,0,0.0
203,Æg,0,0.0
204,efter,0,0.0
205,det,0,0.0
206,andet,0,0.0
207,:,0,0.0
208,»,0,0.0
209,pip,0,0.0
210,!,0,0.0
211,pip,0,0.0
212,!,0,0.0
213,«,0,0.0
214,sagde,0,0.0
215,det,0,0.0
216,",",0,0.0
217,alle,0,0.0
218,Æggeblommerne,0,0.0
219,vare,0,0.0
220,blevne,0,0.0
221,levende,1,2.0
222,og,0,0.0
223,stak,-1,-1.0
224,Hovedet,0,0.0
225,ud,0,0.0
226,.,0,0.0
227,»,0,0.0
228,Rap,0,0.0
229,!,0,0.0
230,rap,-1,0.0
231,!,0,0.0
232,«,0,0.0
233,sagde,0,0.0
234,hun,0,0.0
235,",",0,0.0
236,og,0,0.0
237,saa,0,0.0
238,rappede,0,0.0
239,de,0,0.0
240,sig,0,0.0
241,alt,0,0.0
242,hvad,0,0.0
243,de,0,0.0
244,kunde,0,0.0
245,",",0,0.0
246,og,0,0.0
247,saae,0,0.0
248,til,0,0.0
249,alle,0,0.0
250,Sider,0,0.0
251,under,1,0.0
252,de,0,0.0
253,grønne,0,0.0
254,Blade,0,0.0
255,",",0,0.0
256,og,0,0.0
257,Moderen,0,0.0
258,lod,0,0.0
259,dem,0,0.0
260,see,0,0.0
261,saa,0,0.0
262,meget,0,0.0
263,de,0,0.0
264,vilde,-1,0.0
265,",",0,0.0
266,for,0,0.0
267,det,0,0.0
268,Grønne,0,0.0
269,er,0,0.0
270,godt,1,3.0
271,for,0,0.0
272,Øinene,0,0.0
273,.,0,0.0
274,»,0,0.0
275,Hvor,0,0.0
276,dog,0,0.0
277,Verden,0,0.0
278,er,0,0.0
279,stor,1,0.0
280,!,0,0.0
281,«,0,0.0
282,sagde,0,0.0
283,alle,0,0.0
284,Ungerne,0,0.0
285,;,0,0.0
286,thi,0,0.0
287,de,0,0.0
288,havde,0,0.0
289,nu,0,0.0
290,rigtignok,0,0.0
291,ganske,0,0.0
292,anderledes,0,0.0
293,Plads,0,0.0
294,",",0,0.0
295,end,0,0.0
296,da,-1,0.0
297,de,0,0.0
298,laae,0,0.0
299,inde,0,0.0
300,i,0,0.0
301,Ægget.mukendt.A,0,0.0
302,NE,0,0.0
303,1,0,0.0
304,-,0,0.0
305,44,0,0.0
306,s,0,0.0
307,.,0,0.0
308,32,0,0.0
309,-,0,0.0
310,47,0,0.0
311,(,0,0.0
312,Bibl,0,0.0
313,.,0,0.0
314,432,0,0.0
315,),0,0.0
316,.,0,0.0
317,A2,0,0.0
318,NE,0,0.0
319,1,0,0.0
320,-,0,0.0
321,442,0,0.0
322,.,0,0.0
323,A3,0,0.0
324,NE,0,0.0
325,1,0,0.0
326,-,0,0.0
327,47,0,0.0
328,.,0,0.0
329,B,0,0.0
330,EP,0,0.0
331,-,0,0.0
332,50,0,0.0
333,s,0,0.0
334,.,0,0.0
335,225,0,0.0
336,-,0,0.0
337,37m,0,0.0
338,.,0,0.0
339,3,0,0.0
340,ill,0,0.0
341,.,0,0.0
342,",",0,0.0
343,deraf,0,0.0
344,1,0,0.0
345,på,0,0.0
346,indsat,0,0.0
347,blad.B2,0,0.0
348,EP,0,0.0
349,-,0,0.0
350,54,0,0.0
351,.,0,0.0
352,C,0,0.0
353,SS,0,0.0
354,19,0,0.0
355,-,0,0.0
356,55,0,0.0
357,s,0,0.0
358,.,0,0.0
359,171,0,0.0
360,-,0,0.0
361,81,0,0.0
362,.,0,0.0
363,D,0,0.0
364,EHP,0,0.0
365,1,0,0.0
366,-,0,0.0
367,62,0,0.0
368,s,0,0.0
369,.,0,0.0
370,365,0,0.0
371,-,0,0.0
372,80,0,0.0
373,m,0,0.0
374,.,0,0.0
375,3,0,0.0
376,ill,0,0.0
377,.,0,0.0
378,12,0,0.0
379,And,0,0.0
380,],0,0.0
381,Aand,0,0.0
382,fejlA,0,0.0
383,.,0,0.0
384,»,0,0.0
385,Troer,0,0.0
386,I,0,0.0
387,",",0,0.0
388,det,0,0.0
389,er,0,0.0
390,hele,0,0.0
391,Verden,0,0.0
392,!,0,0.0
393,«,0,0.0
394,sagde,0,0.0
395,Moderen,0,0.0
396,",",0,0.0
397,»,0,0.0
398,den,0,0.0
399,strækker,0,0.0
400,sig,0,0.0
401,langt,0,0.0
402,paa,0,0.0
403,den,0,0.0
404,anden,0,0.0
405,Side,0,0.0
406,Haven,0,0.0
407,",",0,0.0
408,lige,0,0.0
409,ind,0,0.0
410,i,0,0.0
411,Præstens,0,0.0
412,Mark,0,0.0
413,!,0,0.0
414,men,0,0.0
415,der,0,0.0
416,har,0,0.0
417,jeg,0,0.0
418,aldrig,0,0.0
419,været,0,0.0
420,!,0,0.0
421,-,0,0.0
422,I,0,0.0
423,ere,0,0.0
424,her,0,0.0
425,dog,0,0.0
426,vel,0,0.0
427,Allesammen,0,0.0
428,!,0,0.0
429,«,0,0.0
430,-,0,0.0
431,og,0,0.0
432,saa,0,0.0
433,reiste,0,0.0
434,hun,0,0.0
435,sig,0,0.0
436,op,0,0.0
437,",",0,0.0
438,»,0,0.0
439,nei,0,0.0
440,",",0,0.0
441,jeg,0,0.0
442,har,0,0.0
443,ikke,0,0.0
444,alle,0,0.0
445,!,0,0.0
446,det,0,0.0
447,største,0,0.0
448,Æg,0,0.0
449,ligger,-1,0.0
450,der,0,0.0
451,endnu,0,0.0
452,;,0,0.0
453,hvor,0,0.0
454,længe,0,0.0
455,skal,0,0.0
456,det,0,0.0
457,vare,0,0.0
458,!,0,0.0
459,nu,0,0.0
460,er,0,0.0
461,jeg,0,0.0
462,snart,0,0.0
463,kjed,0,0.0
464,af,0,0.0
465,det,0,0.0
466,!,0,0.0
467,«,0,0.0
468,og,0,0.0
469,saa,0,0.0
470,lagde,0,0.0
471,hun,0,0.0
472,sig,0,0.0
473,igjen,0,0.0
474,.,0,0.0
475,»,0,0.0
476,Naa,0,0.0
477,hvordan,0,0.0
478,gaaer,0,0.0
479,det,0,0.0
480,?,0,0.0
481,«,0,0.0
482,sagde,0,0.0
483,en,0,0.0
484,gammel,0,0.0
485,And,0,0.0
486,",",0,0.0
487,som,1,0.0
488,kom,0,0.0
489,for,0,0.0
490,at,0,0.0
491,gjøre,0,0.0
492,Visit,0,0.0
493,.,0,0.0
494,»,0,0.0
495,Det,0,0.0
496,varer,0,0.0
497,saa,0,0.0
